 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Sexo
Ano Diagnóstico: 2021
Ano Notificação: 2021
Período:2021
"Município (Res)";"Masculino";"Feminino";"Ignorado";"Total"
"500660 Ponta Porã";23;14;0;37
"500710 Ribas do Rio Pardo";1;1;0;2
"500720 Rio Brilhante";1;0;0;1
"500740 Rio Verde de Mato Grosso";1;1;0;2
"500750 Rochedo";0;1;0;1
"500769 São Gabriel do Oeste";2;2;0;4
"500780 Selvíria";0;1;0;1
"500790 Sidrolândia";4;0;0;4
"500793 Sonora";1;1;0;2
"500795 Tacuru";1;0;0;1
"500830 Três Lagoas";24;7;0;31
"510010 Acorizal";0;1;0;1
"510020 Água Boa";5;4;0;9
"510025 Alta Floresta";5;5;0;10
"510040 Alto Garças";0;1;0;1
"510060 Alto Taquari";2;0;0;2
"510080 Apiacás";1;0;0;1
"510125 Araputanga";5;0;0;5
"510140 Aripuanã";1;0;0;1
"510170 Barra do Bugres";1;1;0;2
"510180 Barra do Garças";4;1;0;5
"510250 Cáceres";10;10;0;20
"510263 Campo Novo do Parecis";4;0;0;4
"510267 Campo Verde";7;2;0;9
"510268 Campos de Júlio";2;0;0;2
"510269 Canabrava do Norte";1;0;0;1
"510270 Canarana";0;3;0;3
"510285 Castanheira";1;0;0;1
"510300 Chapada dos Guimarães";1;0;0;1
"510320 Colíder";2;0;0;2
"510335 Confresa";7;4;0;11
"510340 Cuiabá";137;52;0;189
"510350 Diamantino";3;3;0;6
"510360 Dom Aquino";4;0;0;4
"510370 Feliz Natal";2;1;0;3
"510410 Guarantã do Norte";4;1;0;5
"510420 Guiratinga";1;0;0;1
"510460 Itiquira";2;0;0;2
"510480 Jaciara";4;2;0;6
"510490 Jangada";2;0;0;2
"510510 Juara";6;3;0;9
"510515 Juína";3;5;0;8
"510520 Juscimeira";1;0;0;1
"510525 Lucas do Rio Verde";2;1;0;3
"510560 Matupá";1;0;0;1
"510562 Mirassol d'Oeste";2;1;0;3
"510590 Nobres";3;0;0;3
"510610 Nossa Senhora do Livramento";1;0;0;1
"510622 Nova Mutum";5;1;0;6
"510617 Nova Nazaré";0;1;0;1
"510625 Nova Xavantina";1;1;0;2
"510630 Paranatinga";2;0;0;2
"510637 Pedra Preta";2;0;0;2
"510642 Peixoto de Azevedo";3;1;0;4
"510650 Poconé";1;1;0;2
"510675 Pontes e Lacerda";4;2;0;6
"510677 Porto Alegre do Norte";1;0;0;1
"510680 Porto dos Gaúchos";0;1;0;1
"510700 Poxoréo";1;1;0;2
"510704 Primavera do Leste";6;2;0;8
"510706 Querência";1;0;0;1
"510719 Ribeirãozinho";1;0;0;1
"510760 Rondonópolis";69;23;0;92
"510770 Rosário Oeste";1;0;0;1
"510776 Santa Rita do Trivelato";1;0;0;1
"510779 Santo Antônio do Leste";1;0;0;1
"510780 Santo Antônio do Leverger";1;0;0;1
"510785 São Félix do Araguaia";1;0;0;1
"510730 São José do Rio Claro";2;1;0;3
"510710 São José dos Quatro Marcos";0;3;0;3
"510740 São Pedro da Cipa";2;0;0;2
"510787 Sapezal";1;1;0;2
"510790 Sinop";23;9;0;32
"510792 Sorriso";15;7;0;22
"510795 Tangará da Serra";20;12;0;32
"510800 Tapurah";1;1;0;2
"510840 Várzea Grande";71;17;0;88
"510550 Vila Bela da Santíssima Trindade";1;0;0;1
"510860 Vila Rica";1;0;0;1
"520005 Abadia de Goiás";1;0;0;1
"520010 Abadiânia";1;0;0;1
"520013 Acreúna";1;0;0;1
"520020 Água Limpa";1;0;0;1
"520025 Águas Lindas de Goiás";7;2;0;9
"520030 Alexânia";2;0;0;2
"520110 Anápolis";61;15;0;76
"520140 Aparecida de Goiânia";80;20;0;100
"520170 Aragarças";2;4;0;6
"520180 Aragoiânia";1;0;0;1
"520280 Avelinópolis";0;1;0;1
"520330 Bela Vista de Goiás";3;2;0;5
"520340 Bom Jardim de Goiás";1;0;0;1
"520350 Bom Jesus de Goiás";0;3;0;3
"520430 Caçu";1;0;0;1
"520440 Caiapônia";1;2;0;3
"520450 Caldas Novas";14;6;0;20
"520470 Campinorte";0;1;0;1
"520500 Carmo do Rio Verde";1;0;0;1
"520510 Catalão";20;7;0;27
"520540 Ceres";3;0;0;3
"520545 Cezarina";2;0;0;2
"520549 Cidade Ocidental";12;4;0;16
"520552 Colinas do Sul";1;0;0;1
"520620 Cristalina";1;3;0;4
"520640 Crixás";1;0;0;1
"520735 Edealina";1;0;0;1
"520753 Faina";1;0;0;1
"520780 Firminópolis";0;1;0;1
"520800 Formosa";0;1;0;1
"520840 Goianápolis";0;1;0;1
"520860 Goianésia";2;0;0;2
"520870 Goiânia";365;96;1;462
"520880 Goianira";5;2;0;7
"520890 Goiás";3;1;0;4
"520920 Guapó";0;1;0;1
"520929 Guaraíta";1;0;0;1
"520945 Guarinos";1;0;0;1
"520970 Hidrolândia";3;0;0;3
"520995 Indiara";3;0;0;3
"521000 Inhumas";4;1;0;5
"521010 Ipameri";5;1;0;6
"521020 Iporá";6;1;0;7
"521040 Itaberaí";2;2;0;4
"521100 Itapirapuã";1;0;0;1
"521120 Itapuranga";1;1;0;2
"521150 Itumbiara";27;7;0;34
"521190 Jataí";18;6;0;24
"521210 Joviânia";2;0;0;2
"521230 Leopoldo de Bulhões";2;0;0;2
"521250 Luziânia";8;4;0;12
"521300 Maurilândia";1;0;0;1
"521308 Minaçu";1;0;0;1
"521310 Mineiros";4;1;0;5
"521380 Morrinhos";5;5;0;10
"521400 Mozarlândia";0;1;0;1
"521450 Nerópolis";2;1;0;3
"521460 Niquelândia";1;0;0;1
"521486 Nova Glória";1;0;0;1
"521523 Novo Gama";8;3;0;11
"521560 Padre Bernardo";1;1;0;2
"521570 Palmeiras de Goiás";3;0;0;3
"521590 Palminópolis";1;0;0;1
"521640 Paraúna";1;0;0;1
"521680 Petrolina de Goiás";1;0;0;1
"521710 Piracanjuba";3;0;0;3
"521730 Pirenópolis";2;0;0;2
"521740 Pires do Rio";4;0;0;4
"521760 Planaltina";5;1;0;6
"521770 Pontalina";0;2;0;2
"521800 Porangatu";1;1;0;2
"521830 Posse";0;1;0;1
"521839 Professor Jamil";1;0;0;1
"521850 Quirinópolis";0;1;0;1
"521880 Rio Verde";45;11;0;56
"521910 Santa Bárbara de Goiás";0;1;0;1
"521925 Santa Fé de Goiás";0;1;0;1
"521930 Santa Helena de Goiás";1;1;0;2
"521950 Santa Rosa de Goiás";1;0;0;1
"521973 Santo Antônio de Goiás";1;0;0;1
"521975 Santo Antônio do Descoberto";7;2;0;9
"522005 São João da Paraúna";1;0;0;1
"522010 São Luís de Montes Belos";1;0;0;1
"522040 São Simão";1;0;0;1
"522045 Senador Canedo";23;7;0;30
"522050 Serranópolis";2;0;0;2
"522060 Silvânia";1;2;0;3
"522070 Sítio d'Abadia";1;0;0;1
"522100 Taquaral de Goiás";2;0;0;2
"522119 Terezópolis de Goiás";3;1;0;4
"522140 Trindade";11;2;0;13
"522150 Turvânia";1;0;0;1
"522160 Uruaçu";5;0;0;5
"522185 Valparaíso de Goiás";21;3;0;24
"522200 Vianópolis";1;0;0;1
"530010 Brasília";382;97;0;479
"000000 Ignorado ou exterior";5;2;0;7
"Total";25330;9737;13;35080
